Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
1-Benzyl-3-methylimidazolium chloride,36443-80-8,208.69,U.S. EPA CompTox Dashboard,1.52E-07,Wambaugh 2014,0.68,OPERA (0.48),13.97,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-2.54,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-(2-Hydroxyethyl)-3-methylimidazolium chloride,61755-34-8,162.62,U.S. EPA CompTox Dashboard,1.2E-07,Wambaugh 2014,0.94,OPERA (0.66),13.48,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,-3.39,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N,N-Trimethyl-3-[(2-methylacryloyl)amino]propan-1-aminium chloride",51410-72-1,220.74,U.S. EPA CompTox Dashboard,2.28E-07,Wambaugh 2014,0.86,OPERA (0.55),5.54,OPERA (0.54),None,Sipes 2017,10.84,Sipes 2017,-3.73,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
(2-(Methacryloyloxy)ethyl)trimethylammonium chloride,5039-78-1,207.7,U.S. EPA CompTox Dashboard,7.27E-08,Wambaugh 2014,0.86,OPERA (0.54),30.47,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,-2.99,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Acetylcholine chloride,60-31-1,181.66,U.S. EPA CompTox Dashboard,1.13E-07,Wambaugh 2014,0.71,OPERA (0.48),34.52,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-3.9,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzethonium chloride,121-54-0,448.09,U.S. EPA CompTox Dashboard,3.97E-07,Wambaugh 2014,0.03,OPERA (0.74),4.78,OPERA (0.53),None,Sipes 2017,None,Sipes 2017,3.8,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Pranolium chloride,42879-47-0,323.86,U.S. EPA CompTox Dashboard,2.12E-07,Wambaugh 2014,0.44,OPERA (0.5),7.56,OPERA (0.58),None,Sipes 2017,None,Sipes 2017,-1.44,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Moxisylyte hydrochloride,964-52-3,315.84,U.S. EPA CompTox Dashboard,2.59E-07,Wambaugh 2014,0.74,OPERA (0.86),3,OPERA (0.57),8.39,Sipes 2017,None,Sipes 2017,3.09,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.1,ACD/Labs GALAS
Methacholine chloride,62-51-1,195.69,U.S. EPA CompTox Dashboard,1.55E-07,Wambaugh 2014,0.73,OPERA (0.48),34.54,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-3.3,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Bethanechol chloride,590-63-6,196.68,U.S. EPA CompTox Dashboard,1.45E-07,Wambaugh 2014,0.73,OPERA (0.47),4.81,OPERA (0.26),None,Sipes 2017,11.75,Sipes 2017,-3.95,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Edrophonium chloride,116-38-1,201.69,U.S. EPA CompTox Dashboard,1.28E-07,Wambaugh 2014,0.82,OPERA (0.47),3.62,OPERA (0.47),None,Sipes 2017,8.55,Sipes 2017,-2.58,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N-Diethyl-N-methylethanaminium chloride",10052-47-8,151.68,U.S. EPA CompTox Dashboard,1.95E-07,Wambaugh 2014,0.69,OPERA (0.57),15.88,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,-2.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetraethylammonium chloride,56-34-8,165.71,U.S. EPA CompTox Dashboard,3.2E-07,Wambaugh 2014,0.7,OPERA (0.57),13.58,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,-2.79,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzyltriethylammonium chloride,56-37-1,227.78,U.S. EPA CompTox Dashboard,3.1E-06,U.S. EPA CompTox Dashboard,0.5,OPERA (0.41),3.85,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.08,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Thiamine,59-43-8,300.81,U.S. EPA CompTox Dashboard,2.1E-07,U.S. EPA CompTox Dashboard,0.08,OPERA (0.86),7.67,OPERA (0.6),#NV,ACD/Labs GALAS,13.79,ACD/Labs GALAS,-2.68,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Methyl-1-propylpyrrolidinium chloride,528818-82-8,163.69,U.S. EPA CompTox Dashboard,2.13E-06,U.S. EPA CompTox Dashboard,0.65,OPERA (0.47),10.71,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,-2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N-Dibutyl-N-methylbutan-1-aminium chloride",56375-79-2,235.84,U.S. EPA CompTox Dashboard,2.21E-07,Wambaugh 2014,0.28,OPERA (0.47),20.39,OPERA (0.67),None,Sipes 2017,None,Sipes 2017,-1.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-1-methylpyrrolidinium chloride,479500-35-1,177.72,U.S. EPA CompTox Dashboard,1.11E-07,Wambaugh 2014,0.6,OPERA (0.51),11.17,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-4-methylpyridinium chloride,112400-86-9,185.7,U.S. EPA CompTox Dashboard,4.96E-06,U.S. EPA CompTox Dashboard,0.39,OPERA (0.3),7.59,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-3-methylpyridinium chloride,125652-55-3,185.7,U.S. EPA CompTox Dashboard,0.000136,U.S. EPA CompTox Dashboard,0.53,OPERA (0.36),7.58,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Butylpyridinium chloride,1124-64-7,171.67,U.S. EPA CompTox Dashboard,1.07E-07,Wambaugh 2014,0.51,OPERA (0.32),8.37,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.78,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-2-methylpyridinium chloride,112400-85-8,185.7,U.S. EPA CompTox Dashboard,1.79E-05,U.S. EPA CompTox Dashboard,0.21,OPERA (0.41),8.41,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetrabutylphosphonium chloride,2304-30-5,294.89,U.S. EPA CompTox Dashboard,3.2E-07,Wambaugh 2014,0.03,OPERA (0.72),36.68,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,1.07,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hexylpyridinium chloride,6220-15-1,199.72,U.S. EPA CompTox Dashboard,1.38E-07,Wambaugh 2014,0.03,OPERA (0.72),8.42,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-1.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzyldimethyloctylammonium chloride,959-55-7,283.88,U.S. EPA CompTox Dashboard,3.84E-05,U.S. EPA CompTox Dashboard,0.39,OPERA (0.51),3.88,OPERA (0.47),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.03,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Dioctyldimethylammonium chloride,5538-94-3,305.98,U.S. EPA CompTox Dashboard,3.24E-07,Wambaugh 2014,0.03,OPERA (0.73),19.95,OPERA (0.69),None,Sipes 2017,None,Sipes 2017,0.79,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Methyltrioctylammonium chloride,5137-55-3,404.16,U.S. EPA CompTox Dashboard,3.94E-07,Wambaugh 2014,0.02,OPERA (0.71),15.93,OPERA (0.62),None,Sipes 2017,None,Sipes 2017,4.16,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Dodecyltrimethylammonium chloride,112-00-5,263.89,U.S. EPA CompTox Dashboard,5.701E-06,Wambaugh 2014,0.0362,Wambaugh 2019,15.76666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,0.67,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzyldimethyldodecylammonium chloride,139-07-1,339.99,U.S. EPA CompTox Dashboard,1.18E-07,Wambaugh 2014,0.16,OPERA (0.58),5.4,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,1.69,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Myristyltrimethylammonium chlorideN,N,N-Trimethyltetradecan-1-aminium chloride",4574-04-03,291.95,U.S. EPA CompTox Dashboard,2.22E-05,U.S. EPA CompTox Dashboard,0.03,OPERA (0.74),17.8,OPERA (0.75),None,Sipes 2017,None,Sipes 2017,2.01,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Miripirium chloride,2748-88-1,325.97,U.S. EPA CompTox Dashboard,2.39E-07,Wambaugh 2014,0.03,OPERA (0.7),13.89,OPERA (0.62),None,Sipes 2017,None,Sipes 2017,1.99,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tributyltetradecylphosphonium chloride,81741-28-8,435.16,U.S. EPA CompTox Dashboard,1.47E-07,Wambaugh 2014,0.03,OPERA (0.68),14.78666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,5.52,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Trihexyltetradecylphosphonium chloride,258864-54-9,519.32,U.S. EPA CompTox Dashboard,3.63E-07,Wambaugh 2014,0.07,OPERA (0.54),28.8,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,10.26,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Hexadecyl trimethyl ammonium chloride,112-02-7,320,U.S. EPA CompTox Dashboard,8.46E-07,Wambaugh 2014,0.03,OPERA (0.73),18.63,OPERA (0.71),None,Sipes 2017,None,Sipes 2017,2.66,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzylhexadecyldimethylammonium chloride,122-18-9,396.1,U.S. EPA CompTox Dashboard,9.93E-08,Wambaugh 2014,0.03,OPERA (0.69),10.45,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,3.42,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Cetylpyridinium chloride,123-03-5,339.99,U.S. EPA CompTox Dashboard,5.94E-08,Wambaugh 2014,0.03,OPERA (0.7),8.83,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,1.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N,N-Trimethyloctadecan-1-aminium chloride",112-03-8,348.06,U.S. EPA CompTox Dashboard,2.177E-06,Wambaugh 2014,0.02,OPERA (0.76),19.19,OPERA (0.69),None,Sipes 2017,None,Sipes 2017,3.23,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N-Dimethyl-N-benzyl-N-octadecylammonium chloride",122-19-0,424.15,U.S. EPA CompTox Dashboard,5.82E-07,Wambaugh 2014,0.03,OPERA (0.69),10.42,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,4.27,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hexadecyl-3-methylimidazolium chloride,61546-01-8,343,U.S. EPA CompTox Dashboard,2.4E-07,Wambaugh 2014,0.03,OPERA (0.71),38.25,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,2.16,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Methyl-3-tetradecylimidazolium chloride,171058-21-2,314.94,U.S. EPA CompTox Dashboard,6.37E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.72),38.73,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,1.48,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Dodecyl-3-methylimidazolium chloride,114569-84-5,286.89,U.S. EPA CompTox Dashboard,2.22E-07,Wambaugh 2014,0.03,OPERA (0.72),39.31,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,0.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Decyl-3-methylimidazolium chloride,171058-18-7,258.83,U.S. EPA CompTox Dashboard,1.15E-05,U.S. EPA CompTox Dashboard,0.02,OPERA (0.74),40,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,0,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Methyl-3-octylimidazolium chloride,64697-40-1,230.78,U.S. EPA CompTox Dashboard,1.77E-07,Wambaugh 2014,0.14,OPERA (0.51),42.73,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,-1.03,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hexyl-3-methylimidazolium chloride,171058-17-6,202.73,U.S. EPA CompTox Dashboard,1.24E-07,Wambaugh 2014,0.33,OPERA (0.35),41.27,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-1.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-3-methylimidazolium chloride,79917-90-1,174.67,U.S. EPA CompTox Dashboard,1.28E-07,Wambaugh 2014,0.75,OPERA (0.42),41.3,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-2.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"1-Butyl-2,3-dimethylimidazolium chloride",98892-75-2,188.7,U.S. EPA CompTox Dashboard,1.37E-07,Wambaugh 2014,0.71,OPERA (0.36),0,OPERA (0.39),None,Sipes 2017,None,Sipes 2017,-2.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Rhodamine B,81-88-9,479.02,U.S. EPA CompTox Dashboard,4.12E-07,Wambaugh 2014,0.21,OPERA (0.54),9.23,OPERA (0.46),  4.47;  3.81,Sipes 2017,None,Sipes 2017,4.3,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Ethyl-3-methylimidazolium chloride,65039-09-0,146.62,U.S. EPA CompTox Dashboard,9.31E-08,Wambaugh 2014,0.94,OPERA (0.68),11.05,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,-3.19,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Chloroallyl methenamine chloride,51229-78-8,251.16,U.S. EPA CompTox Dashboard,1.64E-06,Wambaugh 2014,0.63,OPERA (0.3),0,OPERA (0.5),  4.20;  0.37; -1.89,Sipes 2017,None,Sipes 2017,1.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Malachite green,569-64-2,364.92,U.S. EPA CompTox Dashboard,8.67E-08,U.S. EPA CompTox Dashboard,0.11,OPERA (0.57),10.04,OPERA (0.64),2.75,Sipes 2017,None,Sipes 2017,0.19,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Methylene blue,61-73-4,319.85,U.S. EPA CompTox Dashboard,2.65E-07,Wambaugh 2014,0.426,Wambaugh 2019,12.71333333,Wambaugh 2019,2.44,Wambaugh 2019,None,Sipes 2017,1.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Carpronium chloride,13254-33-6,195.69,U.S. EPA CompTox Dashboard,1.39E-07,Wambaugh 2014,0.73,OPERA (0.48),0,OPERA (0.25),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.41,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetramethylolphosphonium chloride,124-64-1,190.56,U.S. EPA CompTox Dashboard,2.86E-07,Wambaugh 2014,0.91,OPERA (0.61),0,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-3.94,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Iron(III) citrate,3522-50-7,244.944,U.S. EPA CompTox Dashboard,2.71E-07,U.S. EPA CompTox Dashboard,0.86,OPERA (0.68),0,OPERA (0.42),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.42,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Gadoteridol,120066-54-8,558.69,U.S. EPA CompTox Dashboard,4.05E-07,Wambaugh 2014,0.96,OPERA (0.66),3.41,OPERA (0.45),  9.19;  7.76;  4.66,Sipes 2017,  2.51;  2.06;  1.69,Sipes 2017,-1.21,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
4-O-alpha-D-Glucopyranosyl-D-glucitol,585-88-6,344.313,U.S. EPA CompTox Dashboard,1.39E-06,U.S. EPA CompTox Dashboard,0.75,OPERA (0.4),0,OPERA (0.29),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-5.14,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclosporin A,59865-13-3,1202.635,U.S. EPA CompTox Dashboard,8.34E-07,Wambaugh 2014,0.068,"httk2.0.2, Obach 2008",8.59,Paini 2020,None,Sipes 2017,None,Sipes 2017,3.35,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Tylosin,1401-69-0,916.112,U.S. EPA CompTox Dashboard,2.21E-07,U.S. EPA CompTox Dashboard,0.65,OPERA (0.44),26.71,OPERA (0.3),7.75,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.31,ACD/Labs GALAS
Campestanol,474-60-2,402.707,U.S. EPA CompTox Dashboard,4.22E-07,U.S. EPA CompTox Dashboard,0.12,OPERA (0.56),31.48,OPERA (0.63),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,10.57,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Cholesterol,57-88-5,386.664,U.S. EPA CompTox Dashboard,2.423E-06,Wambaugh 2014,0.12,OPERA (0.59),26.36,OPERA (0.63),None,Sipes 2017,None,Sipes 2017,9.85,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Cholesteryl chloroformate,7144-08-03,449.12,U.S. EPA CompTox Dashboard,6.23E-07,U.S. EPA CompTox Dashboard,0.12,OPERA (0.58),65.03,OPERA (0.4),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,11.5,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Ergocalciferol,50-14-6,396.659,U.S. EPA CompTox Dashboard,3.8E-07,Wambaugh 2014,0.01,OPERA (0.94),28.8,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,9.56,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Vitamin D3,67-97-0,384.648,U.S. EPA CompTox Dashboard,4.53E-07,Wambaugh 2014,0.35,OPERA (0.91),16.54,OPERA (0.68),None,Sipes 2017,None,Sipes 2017,8.65,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"7,8-Didehydrocholesterol",434-16-2,384.648,U.S. EPA CompTox Dashboard,6.86E-07,U.S. EPA CompTox Dashboard,0.12,OPERA (0.62),20.06,OPERA (0.64),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,9.46,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Colchicine,64-86-8,399.443,U.S. EPA CompTox Dashboard,2.191E-06,Wambaugh 2014,0.61,Lombardo 2018,0.698,Tonnelier 2012,None,Sipes 2017,None,Sipes 2017,0.92,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Neomycin B,119-04-0,614.65,U.S. EPA CompTox Dashboard,1E-06,U.S. EPA CompTox Dashboard,0.88,OPERA (0.58),0,OPERA (0.7),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-4.88,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
alpha-Lactose,14641-93-1,342.297,U.S. EPA CompTox Dashboard,1.21E-06,U.S. EPA CompTox Dashboard,0.87,OPERA (0.61),0,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.41,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Streptomycin A,57-92-1,581.58,U.S. EPA CompTox Dashboard,3.41E-06,U.S. EPA CompTox Dashboard,0.65,Lombardo 2018,0,OPERA (0.15),"11.90,11.40,8.00",Strope 2018,10.88,Strope 2018,-3.28,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
L-Ascorbic acid,50-81-7,176.124,U.S. EPA CompTox Dashboard,2.287E-05,Wambaugh 2014,0.26,Lombardo 2018,0,OPERA (0.46),None,Sipes 2017, 11.29;  4.76,Sipes 2017,-1.89,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dexamethasone,1950-02-02,392.467,U.S. EPA CompTox Dashboard,6.06E-08,Wambaugh 2014,0.32,Obach 1999,1.791,Wood 2017,None,Sipes 2017,13.5,Pearce 2017,1.87,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Fluticasone propionate,80474-14-2,500.57,U.S. EPA CompTox Dashboard,3.49E-07,Wambaugh 2014,0.1,Lombardo 2018,22.42,OPERA (0.46),None,Sipes 2017,"13.56,14.48",Strope 2018,3.73,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Betamethasone,378-44-9,392.467,U.S. EPA CompTox Dashboard,2.73E-07,Wambaugh 2014,0.36,Lombardo 2018,1.8,OPERA (0.9),None,Sipes 2017,"12.42,13.48;14.09",Strope 2018,1.87,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Trandolapril,87679-37-6,430.545,U.S. EPA CompTox Dashboard,3.49E-07,Wambaugh 2014,0.17,Lombardo 2018,2.16,OPERA (0.6),6.02,Sipes 2017,3.46,Sipes 2017,3.75,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Natamycin,7681-93-8,665.733,U.S. EPA CompTox Dashboard,9.57E-08,Wambaugh 2014,0.16,OPERA (0.62),0,OPERA (0.42),8.34,Sipes 2017,4.57,Sipes 2017,-0.4,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Clavulanic acid,58001-44-8,199.162,U.S. EPA CompTox Dashboard,5.16E-07,U.S. EPA CompTox Dashboard,0.91,Lombardo 2018,0,OPERA (0.6),#NV,ACD/Labs GALAS,3.32,Strope 2018,-1.98,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Lynestrenol,52-76-6,284.443,U.S. EPA CompTox Dashboard,2.2E-07,Wambaugh 2014,0.04,OPERA (0.99),15.75,OPERA (0.71),None,Sipes 2017,None,Sipes 2017,5.25,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
(-)-Abietane,19407-12-6,276.508,U.S. EPA CompTox Dashboard,2.62E-06,U.S. EPA CompTox Dashboard,0.1,OPERA (0.58),48.27,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,8.33,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
(+)-Cedrol,77-53-2,222.372,U.S. EPA CompTox Dashboard,1.662E-05,Wambaugh 2014,0.14,OPERA (0.54),17.65,OPERA (0.52),#NV,ACD/Labs GALAS,16,ACD/Labs GALAS,4.49,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Stanozolol,10418-03-8,328.5,U.S. EPA CompTox Dashboard,3.45E-07,U.S. EPA CompTox Dashboard,0.03,OPERA (0.75),36.13,OPERA (0.71),4.25,Sipes 2017,13.14,Sipes 2017,4.79,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cortisone acetate,1950-04-04,402.487,U.S. EPA CompTox Dashboard,3.07E-07,Wambaugh 2014,0.05,OPERA (0.9),27.08,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,2.53,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Medroxyprogesterone acetate,71-58-9,386.532,U.S. EPA CompTox Dashboard,4.33E-08,Wambaugh 2014,0.03,OPERA (0.79),60.92,OPERA (0.46),None,Sipes 2017,None,Sipes 2017,4.04,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Estradiol benzoate,50-50-0,376.496,U.S. EPA CompTox Dashboard,4.21E-08,Wambaugh 2014,0.1,OPERA (0.56),21.07,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,6.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Estrone,53-16-7,270.372,U.S. EPA CompTox Dashboard,3.68E-08,Wambaugh 2014,0.0329,Wambaugh 2019,4.552,Wambaugh 2019,None,Sipes 2017,10.33,Wambaugh 2019,3.69,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Rotenone,83-79-4,394.423,U.S. EPA CompTox Dashboard,2.44E-08,Wambaugh 2014,0.0034,Paini 2020,28.31,Paini 2020,None,Sipes 2017,11.8,Strope 2018,4.24,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Glycoluril,496-46-8,142.118,U.S. EPA CompTox Dashboard,1.426E-06,Wambaugh 2014,0.88,OPERA (0.56),0,OPERA (0.57),None,Sipes 2017, 11.00; 11.71; 12.14; 11.71,Sipes 2017,-2,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
beta-Cyclodextrin,7585-39-9,1134.987,U.S. EPA CompTox Dashboard,2.8E-06,Wambaugh 2014,0.89,OPERA (0.58),74.16,OPERA (0.32),None,Sipes 2017,None,Sipes 2017,-6.58,ACD/Labs Consensus logP,0,ACD/Labs,1,ACD/Labs GALAS
Avermectin A1a,65195-51-9,887.117,U.S. EPA CompTox Dashboard,2.06E-07,U.S. EPA CompTox Dashboard,0.1,OPERA (0.69),38.26,OPERA (0.36),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.02,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
